unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
0,9.439228257977342e+28,701423565522.6455,714425242939.1631,700215272879.6903,343988.4432959108,355260.57985198643,210045.9057695325,0,10000
1,1.5041329853841822e+27,713529214877.2015,787318246562.297,973412886856.472,236109.91611910868,244946.33496800083,296550.30100892833,0,10000
2,1.657856349229949e+28,894340883134.7964,548569130863.50995,625740217710.6718,210045.35428753856,265669.9605465517,312810.33609759354,0,10000
3,1.242980143794166e+29,890251552382.031,923885449880.2395,789762617943.4043,224106.73944413848,239848.58053952674,239909.51069414656,0,10000
4,1.788015301382671e+26,1127415144114.5076,617014108230.3363,720985988308.3813,290382.13135890116,251641.93265971955,322993.0680914882,0,10000
5,7.891917586867129e+25,750834106806.9777,563493417299.0339,695564189786.146,237029.3889521358,156850.78042536956,248438.04118218963,0,10000
6,1.0865287454584258e+26,686003572764.617,584000345515.5245,665255619075.4285,301472.20518880436,301704.86852142756,289131.1817406456,0,10000
7,7.60445812428936e+29,906440625365.605,806022078992.2893,684100345639.9949,235809.05814913294,263173.79183643806,330084.0489058412,0,10000
8,3.7978217257566746e+29,777755846915.3854,837835711340.6597,968853521236.5259,217085.48883201784,207757.6092462137,265226.84172918106,0,10000
9,1.0208367281996507e+29,628032046392.4495,679592925190.116,750939634908.6812,269162.71412636986,239920.7405851263,313098.8529189121,0,10000
10,9.279934959104154e+29,945412531359.404,761779381253.3813,487292518670.65485,225243.54049995544,265130.087469441,200127.96891318305,0,10000
11,9.84292303710702e+29,690780599257.3197,695324248841.5916,833998716199.1743,239836.3467376135,301774.7450750926,137511.69865769238,0,10000
12,1.168478608517579e+27,881581120854.3302,1039480039719.5264,773317873406.5121,188327.3886471903,265854.87354046735,262080.73348176188,0,10000
13,3.15703939641112e+27,883913020211.6594,668474474526.8901,767925075728.6091,181371.07173163487,350032.5487047602,226329.2815690242,0,10000
14,2.0023691283876632e+27,960784764142.897,558779762181.735,726821125480.1062,182294.0294334781,153921.3489193751,272157.75463265885,0,10000
15,3.814688138532495e+28,820643781357.5208,651316690879.6101,918713736388.385,273895.8291970839,238155.87920667068,149186.13106052644,0,10000
16,1.0166832486261556e+29,871065638879.4243,646720821119.9341,649204001587.004,283985.9693630648,197865.0799303768,268364.3334963978,0,10000
