unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
0,2.1963885092562078e+30,1080595978156.9921,650019878265.1995,587062487517.2882,253016.42161857904,227298.71395803476,201623.77549163974,0,10000
1,2.1600746070128388e+30,636371015267.4033,806725197878.7015,878683273945.8322,278522.81949204806,295335.24660216604,233695.57313480138,0,10000
2,1.8555588529910756e+30,828947270855.0892,622093999572.2235,730859906348.2423,269066.6462783273,230016.84276844878,212483.1831132982,0,10000
3,2.029109032925912e+30,666838098333.9341,808155533133.7515,536661580491.8026,278134.6310384839,247305.3573455889,259927.3616767554,0,10000
4,2.1576272433125491e+30,694554922036.0604,729446033545.4637,694996061694.1648,121580.58248429287,256180.6204916542,280978.21689009113,0,10000
5,2.208387821799833e+30,693733367756.5894,748770551578.979,568267436886.2113,214977.4633535619,374431.8500177779,237101.84839210348,0,10000
6,2.186668447822915e+30,770640394050.1536,873875528762.5662,628861281255.5796,185320.7394163949,288830.9167315059,205680.41785134893,0,10000
7,1.7296007617392073e+30,703628217309.2467,870479415575.6816,423860817621.71075,289873.5371163941,233785.82199988628,180370.5572415612,0,10000
8,1.994367240553372e+30,1123371831977.465,590940244702.8359,469404590568.4763,277121.99466089427,175932.19396594813,315440.8151417001,0,10000
9,1.991113317951738e+30,961389224035.8556,1231153838374.544,424098883031.01105,252608.4903729144,376123.5620099362,278613.80694880197,0,10000
10,1.713549134507027e+30,490742317817.4533,629077772669.7457,380997026293.8628,285658.56923873705,234704.76129247915,311345.4824502995,0,10000
11,2.2505951548858308e+30,964259323819.3138,767707157795.5752,833604808975.4464,216702.51628763432,200471.34060585333,190614.25418422153,0,10000
12,2.1939494626422257e+30,884854161424.0946,653792297179.3663,898960031776.7069,273498.72992405505,281179.02720470435,196692.00252132872,0,10000
13,2.3507454826158158e+30,688752639733.0215,625876587707.0715,725452166739.7097,220265.36538871514,156428.10478161604,276666.79160236137,0,10000
14,1.8735352625477285e+30,1094977925287.3865,475631098791.2899,710752495875.4066,157069.76624570193,230787.7405098481,213903.67582049657,0,10000
15,2.2089030204617387e+30,511751369652.6395,1012392374939.4647,825354417071.99,305510.7609926628,211385.99291693696,288096.0346127666,0,10000
16,1.9374024047863264e+30,740863308969.6528,596891899314.1392,872551114731.0994,168088.392979667,237758.18050447557,321881.92343156465,0,10000
17,2.1631585645815107e+30,1005101256094.2019,1002682635679.1663,760953361225.467,249657.75052716676,197401.76002901676,289602.89215764025,0,10000
18,1.841286539084439e+30,669443032062.5347,827162360563.4424,864081048892.6101,235064.7020957504,243722.80322483796,299023.17711145757,0,10000
19,1.820330628212269e+30,589542385430.7312,853870685890.0223,467298606634.6488,305389.49674828694,245409.68910283232,278766.73507747,0,10000
20,2.2013764890551073e+30,812310309072.9181,866372196959.0023,885098336312.331,191184.02653029055,262219.32103280374,269239.41814398137,0,10000
21,2.0052449872454164e+30,1058892844616.9086,958385547678.1924,758491304981.8599,227612.61414498795,291616.65828201704,291696.5183706778,0,10000
22,2.1084173530509277e+30,692724652112.7401,479138470108.7597,724422899895.8353,214738.52901774782,275517.6098567295,233933.95812941142,0,10000
