# wavelength flux_density uncertainty SNR
1.160 0.050 -9.000 1.065
1.200 0.111 -9.000 3.224
1.241 0.205 0.031 6.572
1.284 0.228 0.029 7.938
1.329 0.152 0.021 7.161
1.375 0.065 -9.000 2.166
1.422 0.067 -9.000 2.583
1.471 0.138 -9.000 4.364
1.522 0.137 -9.000 4.844
1.575 0.235 0.026 9.214
1.630 0.342 0.028 12.678
1.686 0.343 0.034 10.129
1.744 0.261 0.025 10.648
1.805 0.194 0.023 8.410
1.867 0.216 0.030 7.344
1.932 0.255 0.039 6.528
1.999 0.215 0.026 8.317
2.068 0.367 0.033 11.285
2.139 0.406 0.029 14.739
2.213 0.374 0.032 12.282
2.290 0.303 0.038 8.159
2.369 0.296 0.055 5.493
